Date,Open,High,Low,Close,Volume
2025-03-07,235.11,241.37,234.76,239.07,45602651
2025-03-06,234.44,237.86,233.16,235.33,45170419
2025-03-05,235.42,236.55,229.23,235.74,47227643
2025-03-04,237.71,240.07,234.68,235.93,53798100
2025-03-03,241.79,244.03,236.11,238.03,47184000
2025-02-28,236.95,242.09,230.2,241.84,56833400
2025-02-27,239.41,242.46,237.06,237.3,41153639
2025-02-26,244.33,244.98,239.13,240.36,44433600
2025-02-25,248.0,250.0,244.91,247.04,48013300
2025-02-24,244.93,248.86,244.42,247.1,51326400
2025-02-21,245.95,248.69,245.22,245.55,53197431
2025-02-20,244.94,246.78,244.29,245.83,32316907
2025-02-19,244.66,246.01,243.16,244.87,32204215
2025-02-18,244.15,245.18,241.84,244.47,48822500
2025-02-14,241.25,245.55,240.99,244.6,40896227
2025-02-13,236.91,242.34,235.57,241.53,53614100
2025-02-12,231.2,236.96,230.68,236.87,45243300
2025-02-11,228.2,235.23,228.13,232.62,53718400
2025-02-10,229.57,230.59,227.2,227.65,33115645
2025-02-07,232.6,234.0,227.26,227.63,39707224
